2026/06/12 10:36:15 WARNING: MongoDB connect error: server selection error: context deadline exceeded, current topology: { Type: Unknown, Servers: [{ Addr: localhost:27017, Type: Unknown, Last error: dial tcp [::1]:27017: connectex: No connection could be made because the target machine actively refused it. }, ] }. Falling back to In-Memory User Repository.
2026/06/12 10:36:15 listening on http://localhost:8080
2026/06/12 11:14:25 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:14:25 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:26 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:27 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:29 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:29 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:14:29 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:31 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:14:31 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:32 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:33 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:35 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:35 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:14:35 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:38 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:40 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:14:40 GET /api/v1/markets/market-1 200 3ms
2026/06/12 11:14:43 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:46 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:14:46 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:49 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:52 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:14:52 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:55 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:58 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:14:58 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:00 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:03 GET /api/v1/markets/market-1 200 1ms
2026/06/12 11:15:05 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:15:05 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:08 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:11 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:15:11 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:14 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:17 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:15:17 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:20 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:23 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:15:23 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:26 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:29 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:15:29 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:32 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:35 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:15:35 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:38 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:40 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:15:40 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:43 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:46 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:15:46 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:49 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:52 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:15:52 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:55 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:58 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:15:58 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:16:01 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:16:04 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:16:04 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:16:07 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:16:10 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:16:10 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:16:13 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:16:16 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:16:16 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:16:19 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:16:22 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:16:22 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:16:25 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:16:28 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:16:28 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:16:31 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:16:34 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:16:34 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:16:37 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:16:40 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:16:40 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:16:43 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:16:45 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:16:45 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:16:48 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:16:51 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:16:51 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:16:54 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:16:57 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:16:57 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:16:59 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:17:02 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:17:05 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:17:05 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:17:08 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:17:11 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:17:11 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:17:14 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:17:17 OPTIONS /api/v1/markets/market-1 204 1ms
2026/06/12 11:17:17 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:17:20 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:17:23 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:17:23 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:17:25 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:17:28 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:17:28 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:17:32 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:17:35 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:17:35 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:17:38 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:17:40 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:17:40 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:17:43 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:17:46 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:17:46 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:17:49 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:17:51 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:17:51 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:17:54 GET /api/v1/markets/market-1 200 2ms
2026/06/12 11:17:57 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:17:57 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:18:00 GET /api/v1/markets/market-1 200 1ms
2026/06/12 11:18:03 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:18:03 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:18:06 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:18:09 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:18:09 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:18:12 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:18:15 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:18:15 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:18:18 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:18:21 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:18:21 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:18:24 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:18:26 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:18:29 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:18:29 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:18:32 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:18:35 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:18:35 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:18:38 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:18:41 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:18:41 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:18:44 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:18:47 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:18:47 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:18:50 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:18:52 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:18:52 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:18:55 GET /api/v1/markets/market-1 200 11ms
2026/06/12 11:18:58 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:18:58 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:19:01 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:19:04 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:19:04 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:19:07 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:19:10 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:19:10 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:19:13 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:19:16 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:19:16 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:19:19 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:19:22 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:19:22 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:19:25 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:19:27 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:19:27 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:19:30 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:19:33 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:19:33 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:19:36 GET /api/v1/markets/market-1 200 1ms
2026/06/12 11:19:38 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:19:41 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:19:41 GET /api/v1/markets/market-1 200 0s
